name,type,region,locality,geolocation
«Второй» домашний магазин «И.Я. Чурин и Ко» и магазин братьев Платонов,архитектура,Амурская область,Благовещенск,"(Decimal('127.548877'), Decimal('49.811568'))"
«Город чекистов»,архитектура,Свердловская область,Екатеринбург,"(Decimal('60.621271'), Decimal('56.841798'))"
«Дворец для любимой»,архитектура,Курская область,Сафоновка,"(Decimal('35.139965'), Decimal('51.491293'))"
«Дом с Жар-птицей» (усадьба Желябова Л.К.),архитектура,Томская область,Томск,"(Decimal('85.050946'), Decimal('56.469513'))"
«Дом с привидениями»,архитектура,Новосибирская область,Новосибирск,"(Decimal('82.958761'), Decimal('55.041787'))"
«Домик-графин»,архитектура,Свердловская область,Верх-нейвинский,"(Decimal('60.131644'), Decimal('57.265584'))"
«Емельяновский номер»,архитектура,Ярославская область,Ростов,"(Decimal('39.414526'), Decimal('57.185866'))"
Больница «Мясниковская»,архитектура,Ярославская область,Ростов,"(Decimal('39.414526'), Decimal('57.185866'))"
«Трасса Вейнбаума»,архитектура,Белгородская область,Белгород,"(Decimal('36.587223'), Decimal('50.59566'))"
«Особняк Хомич»,архитектура,Томская область,Томск,"(Decimal('84.947649'), Decimal('56.48464'))"
«Серая лошадь»,архитектура,Приморский край,Владивосток,"(Decimal('131.885485'), Decimal('43.115536'))"
«Фотография» И.М. Бабыкин,архитектура,Курганская область,Курган,"(Decimal('65.341118'), Decimal('55.441004'))"
«Школа Л.Н. Толстого» на Пятницкой,архитектура,Москва,,Not found
Аврамиевская надвратная башня,архитектура,Смоленская область,Смоленск,"(Decimal('32.045251'), Decimal('54.782635'))"
Административное здание ликеро-водочного завода им. Д.Смолина,архитектура,Курганская область,Курган,Not found
Администрация Волгоградской области (здания парткома и исполкома),архитектура,Волгоградская область,Волгоград,"(Decimal('44.516948'), Decimal('48.707067'))"
Екатеринбургская городская администрация,архитектура,Свердловская область,Екатеринбург,"(Decimal('61.077166'), Decimal('56.744732'))"
Азовский пороховой погреб,архитектура,Ростовская область,Азов,"(Decimal('39.408391'), Decimal('47.119291'))"
Академия художеств,архитектура,Санкт-Петербург,Санкт-Петербург,"(Decimal('30.345926'), Decimal('59.991093'))"
Александро-Мариинская пятиклассная школа,архитектура,Иркутская область,Иркутск,"(Decimal('104.281047'), Decimal('52.287054'))"
Алексеевская женская гимназия.,архитектура,Амурская область,Благовещенск,"(Decimal('127.527173'), Decimal('50.29064'))"
Анапский маяк,архитектура,Краснодарский край,Анапа,"(Decimal('37.304366'), Decimal('44.953155'))"
Ансамбль Александровский сад,архитектура,Кировская область,Киров,"(Decimal('51.802725'), Decimal('58.284554'))"
Ансамбль Верхотурского Кремля.,архитектура,Свердловская область,Верхотурье,"(Decimal('60.807581'), Decimal('58.860518'))"
Ансамбль Преображенской церкви,архитектура,Костромская область,Николо-Шанга,"(Decimal('45.5395'), Decimal('58.452015'))"
Ансамбль правительственных учреждений в Калуге.,архитектура,Калужская область,Калуга,"(Decimal('36.167539'), Decimal('54.53284'))"
Ансамбль Рогожская Ямская Слобода,архитектура,Москва,,"(Decimal('37.681173'), Decimal('55.746512'))"
Ансамбль торговых рядов,архитектура,Костромская область,Солигалич,"(Decimal('42.285973'), Decimal('59.077591'))"
Ансамбль Железнодорожной Больницы,архитектура,Волгоградская область,Волгоград,"(Decimal('44.516948'), Decimal('48.707067'))"
Ансамбль заводского поселка Кыновского завода,архитектура,Пермь,Кин,Not found
Ансамбль купеческих домов на набережной,архитектура,Ивановская область,Танец,Not found
Ансамбль первой женской школы,архитектура,Свердловская область,Екатеринбург,"(Decimal('60.592336'), Decimal('56.886105'))"
Ансамбль площади Ленина (Круглая площадь),архитектура,Республика Карелия,Петрозаводск,"(Decimal('34.362293'), Decimal('61.789836'))"
"Ансамбль спорткомплекса стадиона ""Динамо""",архитектура,Волгоградская область,Волгоград,"(Decimal('44.506204'), Decimal('48.711895'))"
Ансамбль церкви Константина и Елены,архитектура,Псковская область,Псков,Not found
Аптека «Стрела»,архитектура,Калужская область,Калуга,"(Decimal('36.261215'), Decimal('54.513845'))"
